dataset,task,n_estimators,train_accuracy,test_accuracy,train_error,test_error,train_macro_f1,test_macro_f1
Breast Cancer Wisconsin (WDBC),binary,1,0.9296703296703297,0.8771929824561403,0.0703296703296703,0.1228070175438597,0.9237281032604141,0.85995085995086
Breast Cancer Wisconsin (WDBC),binary,5,0.9582417582417583,0.9473684210526315,0.04175824175824172,0.052631578947368474,0.9555483569089012,0.9422297297297297
Breast Cancer Wisconsin (WDBC),binary,10,0.9758241758241758,0.9385964912280702,0.0241758241758242,0.06140350877192979,0.9739514210918023,0.9313666465984347
Breast Cancer Wisconsin (WDBC),binary,15,0.9824175824175824,0.956140350877193,0.01758241758241763,0.04385964912280704,0.9811265969802555,0.951575906889814
Breast Cancer Wisconsin (WDBC),binary,20,0.9956043956043956,0.9473684210526315,0.00439560439560438,0.052631578947368474,0.9952931683700914,0.9415384615384615
Breast Cancer Wisconsin (WDBC),binary,25,0.9978021978021978,0.9473684210526315,0.00219780219780219,0.052631578947368474,0.9976494170037558,0.9422297297297297
Breast Cancer Wisconsin (WDBC),binary,30,0.9978021978021978,0.9824561403508771,0.00219780219780219,0.01754385964912286,0.9976494170037558,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,35,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,40,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,45,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,50,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,55,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,60,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,65,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,70,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,75,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,80,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,85,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,90,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,95,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,100,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,105,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,110,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,115,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,120,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,125,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,130,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,135,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,140,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,145,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,150,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,155,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,160,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,165,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,170,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,175,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,180,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,185,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,190,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,195,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,200,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Adult Income,binary_imbalanced,1,0.75225,0.752,0.24775000000000003,0.248,0.4293051790555001,0.4292237442922374
Adult Income,binary_imbalanced,5,0.8215,0.817,0.1785,0.18300000000000005,0.7037195643432721,0.6933517657408571
Adult Income,binary_imbalanced,10,0.82775,0.831,0.17225000000000001,0.16900000000000004,0.7255395324153646,0.7303244563803798
Adult Income,binary_imbalanced,15,0.83,0.832,0.17000000000000004,0.16800000000000004,0.7297808522711919,0.7324414715719063
Adult Income,binary_imbalanced,20,0.82525,0.818,0.17474999999999996,0.18200000000000005,0.7526563566122095,0.7483838501141951
Adult Income,binary_imbalanced,25,0.8345,0.843,0.16549999999999998,0.15700000000000003,0.7406759895345918,0.75422629027284
Adult Income,binary_imbalanced,30,0.83575,0.833,0.16425,0.16700000000000004,0.7561875073930016,0.7530458905801055
Adult Income,binary_imbalanced,35,0.83675,0.835,0.16325,0.16500000000000004,0.7588953715757397,0.7568204494842383
Adult Income,binary_imbalanced,40,0.837,0.835,0.16300000000000003,0.16500000000000004,0.7593655517762661,0.7568204494842383
Adult Income,binary_imbalanced,45,0.83775,0.835,0.16225,0.16500000000000004,0.760170910560656,0.7568204494842383
Adult Income,binary_imbalanced,50,0.8375,0.836,0.16249999999999998,0.16400000000000003,0.7607048677415804,0.75869720029898
Adult Income,binary_imbalanced,55,0.84175,0.833,0.15825,0.16700000000000004,0.765689177810543,0.7530458905801055
Adult Income,binary_imbalanced,60,0.8415,0.833,0.15849999999999997,0.16700000000000004,0.7652199674122352,0.7530458905801055
Adult Income,binary_imbalanced,65,0.841,0.833,0.15900000000000003,0.16700000000000004,0.7646779362255007,0.7530458905801055
